collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 10, y: 6 }
collapsed tile_type_id: 7821498657060399440 on position: GridPosition2D { x: 7, y: 15 }
collapsed tile_type_id: 3011764504051536469 on position: GridPosition2D { x: 7, y: 17 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 8, y: 15 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 7, y: 16 }
collapsed tile_type_id: 18397408762225249521 on position: GridPosition2D { x: 8, y: 17 }
collapsed tile_type_id: 3011764504051536469 on position: GridPosition2D { x: 8, y: 18 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 9, y: 18 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 9, y: 15 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 10, y: 15 }
collapsed tile_type_id: 4643307915068691353 on position: GridPosition2D { x: 11, y: 15 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 14 }
collapsed tile_type_id: 8516477200054414134 on position: GridPosition2D { x: 10, y: 18 }
collapsed tile_type_id: 18397408762225249521 on position: GridPosition2D { x: 11, y: 18 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 19 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 13 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 12 }
collapsed tile_type_id: 2183217826987598198 on position: GridPosition2D { x: 11, y: 11 }
collapsed tile_type_id: 7821498657060399440 on position: GridPosition2D { x: 11, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 12, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 13, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 14, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 15, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 16, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 17, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 18, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 19, y: 10 }
collapsed tile_type_id: 6074133361346677398 on position: GridPosition2D { x: 20, y: 10 }
collapsed tile_type_id: 11317814747890366409 on position: GridPosition2D { x: 21, y: 10 }
collapsed tile_type_id: 3165185500446931694 on position: GridPosition2D { x: 21, y: 11 }
